Time Date,Total A&E Attendances
20100801,1752381
20100901,1756268
20101001,1801348
20101101,1651027
20101201,1737741
20110101,1727797
20110201,1599364
20110301,1863441
20110401,1844375
20110501,1873695
20110601,1785417
20110701,1864959
20110801,1758108
20110901,1781211
20111001,1848912
20111101,1741441
20111201,1732046
20120101,1737518
20120201,1704232
20120301,1933153
20120401,1769523
20120501,1929570
20120601,1887841
20120701,1924523
20120801,1845142
20120901,1788491
20121001,1832304
20121101,1755605
20121201,1822426
20130101,1733118
20130201,1648748
20130301,1865084
20130401,1831420
20130501,1891670
20130601,1831036
20130701,1976289
20130801,1840591
20130901,1768749
20131001,1829429
20131101,1733037
20131201,1782029
20140101,1739539
20140201,1661814
20140301,1957341
20140401,1877676
20140501,1978028
20140601,1942268
20140701,1993631
20140801,1817310
20140901,1853286
20141001,1892374
20141101,1830460
20141201,1901227
20150101,1732067
20150201,1654846
20150301,1942967
20150401,1873168
20150501,1937469
20150601,1911209
20150701,1952895
20150801,1865139
20150901,1859979
20151001,1923108
20151101,1874235
20151201,1867652
20160101,1906920
20160201,1870776
20160301,2087553
20160401,1867781
20160501,2070340
20160601,1958802
20160701,2079034
20160801,1932901
20160901,1952464
20161001,2001816
20161101,1907871
20161201,1944567
20170101,1895272
20170201,1735619
20170301,2015834
20170401,1949762
20170501,2066789
20170601,1994056
20170701,2073944
20170801,1924663
20170901,1925961
20171001,2044137
20171101,1976971
20171201,2003954
20180101,2000086
20180201,1820012
20180301,2049785
20180401,1984369
20180501,2164458
20180601,2093942
20180701,2179896
20180801,1997854
20180901,2005695
20181001,2079492
20181101,2037847
20181201,2047518
20190101,2113413
20190201,1954947
20190301,2167551
20190401,2112165
20190501,2172006
20190601,2107987
20190701,2265050
20190801,2125435
20190901,2123345
20191001,2170885
20191101,2143505
20191201,2180537
20200101,2114709
20200201,1969691
